Flight Number,Actual,Prediction,Prediction Percentage,Date
1020,1,delayed,0.86714923,2024-05-16
1020,1,delayed,0.5474703,2024-05-15
1020,1,delayed,0.9720535,2024-05-19
1020,0,not delayed,0.30059844,2024-05-17
1020,0,not delayed,0.37346599,2024-05-18
1021,0,not delayed,0.051224064,2024-05-19
1021,1,delayed,0.9824756,2024-05-18
1021,1,delayed,0.99352056,2024-05-15
1021,0,not delayed,0.030651553,2024-05-16
1021,0,not delayed,0.049637068,2024-05-17
1022,1,delayed,0.9891383,2024-05-18
1022,0,not delayed,0.029820245,2024-05-16
1022,1,delayed,0.9926989,2024-05-15
1022,1,delayed,0.98917526,2024-05-19
1022,1,delayed,0.9956658,2024-05-17
1023,0,not delayed,0.030418094,2024-05-19
1023,1,delayed,0.98917526,2024-05-16
1023,1,delayed,0.98078036,2024-05-15
1023,0,not delayed,0.030996367,2024-05-18
1023,0,not delayed,0.053989474,2024-05-17
1024,1,delayed,0.90607876,2024-05-16
1024,0,not delayed,0.032418497,2024-05-17
1024,0,not delayed,0.0319285,2024-05-15
1024,0,not delayed,0.036185574,2024-05-18
1024,1,delayed,0.99054575,2024-05-19
1025,1,not delayed,0.2500281,2024-05-19
1025,1,delayed,0.98917526,2024-05-17
1025,1,delayed,0.98822325,2024-05-15
1025,0,not delayed,0.03034345,2024-05-18
1025,0,not delayed,0.051992513,2024-05-16
1026,0,delayed,0.55701244,2024-05-15
1026,1,delayed,0.98916847,2024-05-16
1026,0,not delayed,0.0312737,2024-05-17
1026,1,delayed,0.9894739,2024-05-18
1026,1,delayed,0.7515332,2024-05-19
1027,0,not delayed,0.029876804,2024-05-17
1027,0,not delayed,0.048002277,2024-05-15
1027,0,not delayed,0.030998165,2024-05-19
1027,0,not delayed,0.030489407,2024-05-18
1027,0,not delayed,0.029979397,2024-05-16
1028,1,delayed,0.99035466,2024-05-16
1028,0,not delayed,0.046845,2024-05-19
1028,1,delayed,0.9869006,2024-05-18
1028,0,not delayed,0.052380167,2024-05-15
1028,0,not delayed,0.051275805,2024-05-17
1029,1,delayed,0.68198663,2024-05-19
1029,0,not delayed,0.05166286,2024-05-16
1029,1,delayed,0.9930009,2024-05-15
1029,1,delayed,0.97843814,2024-05-17
1029,0,not delayed,0.102399975,2024-05-18
103,1,not delayed,0.3080578,2024-05-15
103,0,not delayed,0.032323286,2024-05-17
103,1,delayed,0.9894242,2024-05-19
103,1,delayed,0.8805537,2024-05-16
103,0,not delayed,0.032589473,2024-05-18
1030,1,delayed,0.99658245,2024-05-18
1030,1,delayed,0.98917514,2024-05-17
1030,0,not delayed,0.030696068,2024-05-19
1030,1,delayed,0.9745536,2024-05-16
1030,1,delayed,0.99654466,2024-05-15
1031,1,delayed,0.9969443,2024-05-16
1031,0,not delayed,0.35774374,2024-05-17
1031,1,delayed,0.7391816,2024-05-19
1031,1,delayed,0.9137358,2024-05-15
1031,1,delayed,0.9783869,2024-05-18
1032,0,not delayed,0.036142718,2024-05-16
1032,0,not delayed,0.032768667,2024-05-15
1032,1,not delayed,0.068368435,2024-05-18
1032,1,delayed,0.9967032,2024-05-19
1032,0,not delayed,0.03500513,2024-05-17
1033,1,delayed,0.9790377,2024-05-19
1033,1,delayed,0.9969443,2024-05-15
1033,1,delayed,0.987623,2024-05-16
1033,0,not delayed,0.048320718,2024-05-18
1033,0,not delayed,0.030321203,2024-05-17
1034,1,not delayed,0.22770974,2024-05-19
1034,0,not delayed,0.033036157,2024-05-17
1034,0,not delayed,0.048057772,2024-05-15
1034,1,delayed,0.9956658,2024-05-16
1034,0,not delayed,0.03014481,2024-05-18
1035,0,not delayed,0.034218047,2024-05-19
1035,0,not delayed,0.07750731,2024-05-15
1035,1,not delayed,0.2666821,2024-05-18
1035,0,not delayed,0.034717508,2024-05-16
1035,1,delayed,0.9646468,2024-05-17
1036,0,not delayed,0.06517416,2024-05-19
1036,0,not delayed,0.04078497,2024-05-17
1036,1,delayed,0.9885888,2024-05-18
1036,1,delayed,0.98709524,2024-05-16
1036,1,delayed,0.59543425,2024-05-15
1037,1,delayed,0.9954267,2024-05-16
1037,0,not delayed,0.12750342,2024-05-18
1037,1,delayed,0.99694574,2024-05-17
1037,1,delayed,0.996939,2024-05-15
1037,0,not delayed,0.17741007,2024-05-19
1038,0,not delayed,0.04797407,2024-05-16
1038,1,not delayed,0.04878477,2024-05-18
1038,1,delayed,0.9888359,2024-05-19
1038,1,delayed,0.8114661,2024-05-15
1038,0,not delayed,0.1933753,2024-05-17
1039,1,delayed,0.98897153,2024-05-16
1039,1,delayed,0.9851701,2024-05-17
1039,0,not delayed,0.27307823,2024-05-18
1039,1,delayed,0.7954886,2024-05-19
1039,0,not delayed,0.030111162,2024-05-15
104,0,not delayed,0.032803364,2024-05-17
104,1,delayed,0.9881265,2024-05-19
104,1,delayed,0.9891721,2024-05-16
104,1,delayed,0.96132696,2024-05-15
104,0,not delayed,0.02994453,2024-05-18
1040,0,not delayed,0.031081526,2024-05-15
1040,0,not delayed,0.030090462,2024-05-17
1040,1,delayed,0.9887848,2024-05-16
1040,1,delayed,0.83619493,2024-05-19
1040,0,not delayed,0.029911393,2024-05-18
1041,0,not delayed,0.03303588,2024-05-17
1041,1,delayed,0.91657275,2024-05-15
1041,0,not delayed,0.030662589,2024-05-19
1041,1,delayed,0.9856371,2024-05-16
1041,1,not delayed,0.099323444,2024-05-18
1042,0,not delayed,0.030351976,2024-05-16
1042,1,delayed,0.9122231,2024-05-18
1042,1,delayed,0.97868305,2024-05-15
1042,0,not delayed,0.048699573,2024-05-17
1042,0,not delayed,0.0741217,2024-05-19
1043,0,delayed,0.98230785,2024-05-15
1043,0,delayed,0.85982686,2024-05-16
1043,0,not delayed,0.029918619,2024-05-17
1043,1,not delayed,0.35657033,2024-05-18
1043,0,not delayed,0.4060169,2024-05-19
1044,0,not delayed,0.3929228,2024-05-18
1044,0,not delayed,0.03098292,2024-05-17
1044,1,not delayed,0.03963715,2024-05-15
1044,0,not delayed,0.066534966,2024-05-19
1044,0,not delayed,0.056312002,2024-05-16
1045,1,delayed,0.9930977,2024-05-16
1045,0,not delayed,0.15918683,2024-05-19
1045,1,delayed,0.9888482,2024-05-17
1045,0,not delayed,0.029986694,2024-05-18
1045,1,delayed,0.9890967,2024-05-15
1046,0,not delayed,0.048396006,2024-05-19
1046,0,not delayed,0.03004569,2024-05-15
1046,1,delayed,0.9972899,2024-05-16
1046,0,not delayed,0.06899736,2024-05-17
1046,1,delayed,0.7196437,2024-05-18
1047,1,delayed,0.99686843,2024-05-19
1047,1,delayed,0.9393032,2024-05-15
1047,1,delayed,0.9891351,2024-05-16
1047,0,not delayed,0.12567261,2024-05-18
1047,0,not delayed,0.034833807,2024-05-17
1048,0,not delayed,0.032361723,2024-05-17
1048,1,delayed,0.9889192,2024-05-18
1048,1,delayed,0.98917466,2024-05-19
1048,1,delayed,0.98917526,2024-05-15
1048,0,not delayed,0.05003334,2024-05-16
1049,0,delayed,0.6489913,2024-05-16
1049,1,delayed,0.9823353,2024-05-18
1049,1,delayed,0.9057635,2024-05-19
1049,1,delayed,0.98917526,2024-05-17
1049,1,not delayed,0.24637689,2024-05-15
105,1,delayed,0.99694574,2024-05-19
105,1,delayed,0.9953036,2024-05-18
105,0,delayed,0.5421051,2024-05-16
105,0,not delayed,0.02997704,2024-05-15
105,1,delayed,0.87191224,2024-05-17
1050,0,not delayed,0.08966898,2024-05-17
1050,0,not delayed,0.03154042,2024-05-16
1050,0,not delayed,0.041830722,2024-05-19
1050,1,delayed,0.98917526,2024-05-18
1050,0,not delayed,0.03227989,2024-05-15
1051,1,delayed,0.99694574,2024-05-17
1051,0,not delayed,0.03272759,2024-05-19
1051,1,delayed,0.9891743,2024-05-18
1051,0,not delayed,0.05223827,2024-05-16
1051,0,not delayed,0.053255327,2024-05-15
1052,1,delayed,0.9891724,2024-05-18
1052,0,not delayed,0.050662886,2024-05-15
1052,1,delayed,0.98917526,2024-05-16
1052,1,delayed,0.9969454,2024-05-17
1052,0,not delayed,0.097716376,2024-05-19
1053,0,not delayed,0.03195768,2024-05-19
1053,1,not delayed,0.47933683,2024-05-15
1053,1,delayed,0.9894791,2024-05-16
1053,0,not delayed,0.036130544,2024-05-18
1053,0,not delayed,0.09453469,2024-05-17
1054,0,not delayed,0.0347876,2024-05-19
1054,1,delayed,0.979279,2024-05-17
1054,0,not delayed,0.030789217,2024-05-18
1054,0,not delayed,0.030407874,2024-05-15
1054,1,delayed,0.9320682,2024-05-16
1055,0,not delayed,0.032732755,2024-05-18
1055,1,delayed,0.98897904,2024-05-19
1055,1,delayed,0.9964429,2024-05-17
1055,1,delayed,0.99566364,2024-05-16
1055,1,delayed,0.9964378,2024-05-15
1056,1,delayed,0.9891153,2024-05-18
1056,1,delayed,0.9969204,2024-05-17
1056,0,not delayed,0.06319147,2024-05-19
1056,1,not delayed,0.05776476,2024-05-15
1056,1,delayed,0.9244717,2024-05-16
1057,0,not delayed,0.032745067,2024-05-17
1057,0,not delayed,0.3012043,2024-05-18
1057,0,not delayed,0.050250802,2024-05-15
1057,0,not delayed,0.030547665,2024-05-19
1057,0,not delayed,0.031971745,2024-05-16
1058,1,delayed,0.9145606,2024-05-15
1058,0,not delayed,0.03080565,2024-05-19
1058,1,delayed,0.9832571,2024-05-18
1058,0,not delayed,0.44146022,2024-05-16
1058,0,not delayed,0.032633565,2024-05-17
1059,0,not delayed,0.17709666,2024-05-15
1059,1,delayed,0.98879415,2024-05-16
1059,1,delayed,0.9754909,2024-05-17
1059,0,not delayed,0.07291785,2024-05-18
1059,1,delayed,0.9964433,2024-05-19
106,0,not delayed,0.11191221,2024-05-18
106,1,delayed,0.8691584,2024-05-19
106,0,not delayed,0.030237433,2024-05-16
106,1,delayed,0.9885784,2024-05-15
106,1,delayed,0.99313396,2024-05-17
1060,1,delayed,0.98916966,2024-05-19
1060,0,not delayed,0.16275871,2024-05-15
1060,0,not delayed,0.030437883,2024-05-17
1060,1,delayed,0.9967665,2024-05-18
1060,1,delayed,0.92643225,2024-05-16
1061,1,delayed,0.99694455,2024-05-17
1061,0,not delayed,0.030538948,2024-05-16
1061,1,delayed,0.9676658,2024-05-15
1061,1,delayed,0.9891514,2024-05-19
1061,1,delayed,0.9593665,2024-05-18
1062,0,not delayed,0.03053107,2024-05-16
1062,0,not delayed,0.031590346,2024-05-17
1062,0,not delayed,0.22768834,2024-05-15
1062,1,delayed,0.99054575,2024-05-18
1062,0,not delayed,0.035879336,2024-05-19
1063,0,not delayed,0.050720554,2024-05-17
1063,1,delayed,0.98917526,2024-05-15
1063,1,delayed,0.9891736,2024-05-18
1063,0,not delayed,0.03164344,2024-05-19
1063,1,delayed,0.99694574,2024-05-16
1064,1,delayed,0.9873266,2024-05-16
1064,0,not delayed,0.23298003,2024-05-18
1064,0,not delayed,0.06572552,2024-05-17
1064,0,not delayed,0.049043585,2024-05-15
1064,0,not delayed,0.047674038,2024-05-19
1065,1,not delayed,0.08017924,2024-05-19
1065,1,not delayed,0.10241499,2024-05-18
1065,0,not delayed,0.029875413,2024-05-15
1065,1,delayed,0.99694574,2024-05-16
1065,1,delayed,0.99694574,2024-05-17
1066,0,not delayed,0.055080473,2024-05-16
1066,1,delayed,0.960598,2024-05-18
1066,0,not delayed,0.038158156,2024-05-15
1066,0,not delayed,0.030247865,2024-05-17
1066,0,not delayed,0.030933792,2024-05-19
1067,0,not delayed,0.089063056,2024-05-17
1067,1,delayed,0.97494435,2024-05-18
1067,0,not delayed,0.17612568,2024-05-19
1067,0,not delayed,0.06371254,2024-05-16
1067,0,not delayed,0.029971387,2024-05-15
1068,1,delayed,0.98887694,2024-05-18
1068,0,not delayed,0.06631607,2024-05-15
1068,0,not delayed,0.030587677,2024-05-17
1068,1,not delayed,0.4779726,2024-05-16
1068,0,not delayed,0.03347548,2024-05-19
1069,0,not delayed,0.04733231,2024-05-19
1069,0,not delayed,0.030817742,2024-05-18
1069,0,not delayed,0.030471174,2024-05-16
1069,0,not delayed,0.03174781,2024-05-17
1069,0,not delayed,0.030578382,2024-05-15
107,0,delayed,0.86078864,2024-05-18
107,0,not delayed,0.033102266,2024-05-19
107,0,not delayed,0.03282421,2024-05-15
107,1,delayed,0.9698508,2024-05-16
107,0,not delayed,0.030904826,2024-05-17
1070,1,delayed,0.98842716,2024-05-19
1070,1,delayed,0.8680775,2024-05-17
1070,1,delayed,0.98917466,2024-05-18
1070,0,not delayed,0.05383439,2024-05-16
1070,0,not delayed,0.030057803,2024-05-15
1071,1,delayed,0.9891752,2024-05-17
1071,1,delayed,0.9891708,2024-05-15
1071,1,delayed,0.9965712,2024-05-19
1071,0,not delayed,0.0486232,2024-05-16
1071,1,delayed,0.9969019,2024-05-18
1072,0,not delayed,0.033297416,2024-05-15
1072,1,delayed,0.98770005,2024-05-19
1072,1,delayed,0.9783092,2024-05-16
1072,0,not delayed,0.032058645,2024-05-17
1072,0,not delayed,0.044885952,2024-05-18
1073,0,not delayed,0.042642042,2024-05-15
1073,1,delayed,0.99694574,2024-05-19
1073,0,not delayed,0.052343085,2024-05-16
1073,0,not delayed,0.030130945,2024-05-18
1073,0,not delayed,0.04877931,2024-05-17
1074,0,not delayed,0.1855724,2024-05-16
1074,0,not delayed,0.030445542,2024-05-17
1074,1,delayed,0.69139105,2024-05-15
1074,0,not delayed,0.03847986,2024-05-19
1074,1,delayed,0.98887706,2024-05-18
1075,0,delayed,0.7183772,2024-05-18
1075,1,delayed,0.9793176,2024-05-15
1075,0,not delayed,0.3075383,2024-05-19
1075,0,not delayed,0.030273557,2024-05-17
1075,1,delayed,0.98101103,2024-05-16
1076,0,not delayed,0.049906068,2024-05-15
1076,1,delayed,0.97608536,2024-05-19
1076,1,delayed,0.9969391,2024-05-18
1076,1,delayed,0.994562,2024-05-17
1076,0,not delayed,0.05498048,2024-05-16
1077,0,not delayed,0.03308858,2024-05-19
1077,1,delayed,0.98917514,2024-05-15
1077,1,not delayed,0.36195955,2024-05-17
1077,0,not delayed,0.27011007,2024-05-18
1077,1,delayed,0.9867464,2024-05-16
1078,0,not delayed,0.031551998,2024-05-19
1078,0,not delayed,0.04924678,2024-05-16
1078,0,not delayed,0.03231242,2024-05-18
1078,0,not delayed,0.036001258,2024-05-17
1078,0,delayed,0.9931801,2024-05-15
1079,0,not delayed,0.060957957,2024-05-16
1079,1,delayed,0.9730874,2024-05-19
1079,1,delayed,0.9175772,2024-05-17
1079,1,delayed,0.9889887,2024-05-15
1079,0,not delayed,0.041099843,2024-05-18
108,1,delayed,0.84162515,2024-05-18
108,1,delayed,0.9785197,2024-05-17
108,0,not delayed,0.03383032,2024-05-15
108,0,not delayed,0.029864319,2024-05-19
108,0,not delayed,0.03132084,2024-05-16
1080,0,not delayed,0.12802681,2024-05-19
1080,0,not delayed,0.031633187,2024-05-16
1080,1,not delayed,0.031058952,2024-05-17
1080,0,not delayed,0.03023647,2024-05-15
1080,0,not delayed,0.068478286,2024-05-18
1081,0,not delayed,0.101476915,2024-05-15
1081,0,not delayed,0.048502624,2024-05-18
1081,1,delayed,0.98893136,2024-05-17
1081,1,delayed,0.95621544,2024-05-19
1081,1,delayed,0.8608607,2024-05-16
1082,1,delayed,0.98841536,2024-05-19
1082,1,not delayed,0.03287746,2024-05-15
1082,0,not delayed,0.04970231,2024-05-17
1082,0,not delayed,0.048450787,2024-05-16
1082,0,not delayed,0.15298802,2024-05-18
1083,1,delayed,0.98901105,2024-05-15
1083,0,not delayed,0.03821274,2024-05-19
1083,0,not delayed,0.052499942,2024-05-16
1083,1,delayed,0.7469216,2024-05-17
1083,0,not delayed,0.034996785,2024-05-18
1084,1,delayed,0.99694574,2024-05-19
1084,1,delayed,0.99694574,2024-05-15
1084,0,delayed,0.51714087,2024-05-17
1084,0,not delayed,0.031314388,2024-05-18
1084,0,not delayed,0.058530692,2024-05-16
1085,1,delayed,0.98917526,2024-05-16
1085,0,not delayed,0.042429134,2024-05-17
1085,1,delayed,0.9636125,2024-05-18
1085,0,not delayed,0.029989127,2024-05-15
1085,1,delayed,0.8877475,2024-05-19
1086,1,not delayed,0.031146256,2024-05-18
1086,1,not delayed,0.17507228,2024-05-15
1086,1,delayed,0.8993876,2024-05-19
1086,1,delayed,0.99694574,2024-05-17
1086,1,delayed,0.9649061,2024-05-16
1087,0,not delayed,0.03066299,2024-05-18
1087,0,not delayed,0.057592515,2024-05-15
1087,0,not delayed,0.09967151,2024-05-16
1087,1,delayed,0.9967298,2024-05-19
1087,0,not delayed,0.03139991,2024-05-17
1088,1,delayed,0.8626404,2024-05-17
1088,0,not delayed,0.15278247,2024-05-15
1088,1,delayed,0.9891175,2024-05-16
1088,1,delayed,0.76457775,2024-05-19
1088,0,not delayed,0.030436223,2024-05-18
1089,0,not delayed,0.19820899,2024-05-15
1089,1,delayed,0.9890418,2024-05-17
1089,1,delayed,0.9878963,2024-05-19
1089,0,not delayed,0.03093472,2024-05-16
1089,1,delayed,0.947028,2024-05-18
109,0,not delayed,0.03014912,2024-05-18
109,0,not delayed,0.16187209,2024-05-15
109,0,not delayed,0.030362045,2024-05-19
109,0,delayed,0.87630427,2024-05-16
109,0,not delayed,0.030756574,2024-05-17
1090,0,not delayed,0.048017982,2024-05-19
1090,0,not delayed,0.0463941,2024-05-18
1090,0,not delayed,0.030209975,2024-05-17
1090,0,not delayed,0.048839428,2024-05-16
1090,1,delayed,0.9969434,2024-05-15
1091,1,delayed,0.98864996,2024-05-15
1091,0,not delayed,0.16990192,2024-05-16
1091,0,not delayed,0.060823176,2024-05-18
1091,1,delayed,0.98917526,2024-05-19
1091,0,not delayed,0.031178568,2024-05-17
1092,1,delayed,0.996943,2024-05-17
1092,1,delayed,0.9903927,2024-05-19
1092,0,not delayed,0.03062237,2024-05-16
1092,0,not delayed,0.055090815,2024-05-15
1092,0,not delayed,0.041601717,2024-05-18
1093,0,not delayed,0.049633335,2024-05-17
1093,1,delayed,0.9883142,2024-05-19
1093,1,delayed,0.9969072,2024-05-18
1093,1,delayed,0.9960109,2024-05-15
1093,1,delayed,0.9956659,2024-05-16
1094,1,delayed,0.99694574,2024-05-18
1094,0,not delayed,0.030541984,2024-05-19
1094,1,delayed,0.9892537,2024-05-16
1094,1,delayed,0.9956653,2024-05-15
1094,0,not delayed,0.0705522,2024-05-17
1095,0,not delayed,0.032366645,2024-05-16
1095,0,not delayed,0.18151689,2024-05-19
1095,1,delayed,0.9884139,2024-05-18
1095,0,not delayed,0.034494195,2024-05-17
1095,0,not delayed,0.031267416,2024-05-15
1096,0,not delayed,0.030349428,2024-05-16
1096,1,delayed,0.85520893,2024-05-18
1096,1,not delayed,0.25995198,2024-05-17
1096,0,not delayed,0.044863135,2024-05-15
1096,0,not delayed,0.060926586,2024-05-19
1097,0,delayed,0.6352306,2024-05-16
1097,1,delayed,0.9891728,2024-05-19
1097,0,not delayed,0.17182069,2024-05-15
1097,1,delayed,0.98909575,2024-05-17
1097,0,not delayed,0.14513506,2024-05-18
1098,1,delayed,0.99694574,2024-05-16
1098,1,delayed,0.9969066,2024-05-18
1098,0,not delayed,0.031117562,2024-05-17
1098,1,delayed,0.98917526,2024-05-15
1098,0,not delayed,0.03046705,2024-05-19
1099,0,not delayed,0.052710153,2024-05-18
1099,1,delayed,0.99566585,2024-05-17
1099,1,delayed,0.9923662,2024-05-16
1099,0,not delayed,0.029986493,2024-05-19
1099,0,not delayed,0.030919516,2024-05-15
11,0,not delayed,0.030292885,2024-05-17
11,1,delayed,0.99687475,2024-05-16
11,0,not delayed,0.059747238,2024-05-18
11,0,not delayed,0.039593965,2024-05-15
11,0,not delayed,0.04938101,2024-05-19
110,1,delayed,0.5591177,2024-05-19
110,0,not delayed,0.0336129,2024-05-15
110,0,not delayed,0.031251665,2024-05-17
110,0,not delayed,0.03035967,2024-05-16
110,1,delayed,0.99610704,2024-05-18
1100,1,delayed,0.9956658,2024-05-18
1100,0,not delayed,0.0483213,2024-05-16
1100,0,not delayed,0.18877195,2024-05-19
1100,0,not delayed,0.039112534,2024-05-17
1100,1,delayed,0.98613924,2024-05-15
1101,0,not delayed,0.030657353,2024-05-15
1101,1,delayed,0.9891699,2024-05-16
1101,1,delayed,0.9956658,2024-05-17
1101,0,not delayed,0.03202285,2024-05-18
1101,1,delayed,0.9888366,2024-05-19
1102,0,not delayed,0.1510192,2024-05-19
1102,0,not delayed,0.05356147,2024-05-17
1102,0,not delayed,0.07549953,2024-05-15
1102,1,delayed,0.98917526,2024-05-16
1102,0,not delayed,0.030521998,2024-05-18
1103,1,delayed,0.99694574,2024-05-16
1103,0,not delayed,0.032106325,2024-05-18
1103,1,delayed,0.9627972,2024-05-17
1103,1,delayed,0.74453896,2024-05-15
1103,1,delayed,0.9668052,2024-05-19
1104,1,delayed,0.90246,2024-05-17
1104,1,delayed,0.98909724,2024-05-19
1104,0,not delayed,0.030798875,2024-05-16
1104,0,not delayed,0.06902721,2024-05-18
1104,0,not delayed,0.048484813,2024-05-15
1105,0,not delayed,0.055124443,2024-05-15
1105,0,not delayed,0.07506919,2024-05-18
1105,0,not delayed,0.05122569,2024-05-17
1105,1,delayed,0.9956658,2024-05-19
1105,0,not delayed,0.03409967,2024-05-16
1106,1,delayed,0.983363,2024-05-17
1106,1,not delayed,0.20459871,2024-05-15
1106,0,not delayed,0.030363759,2024-05-19
1106,0,not delayed,0.030955961,2024-05-16
1106,1,delayed,0.96070147,2024-05-18
1107,0,not delayed,0.03304573,2024-05-16
1107,1,delayed,0.98345643,2024-05-18
1107,0,not delayed,0.03147972,2024-05-19
1107,0,not delayed,0.048582062,2024-05-15
1107,1,delayed,0.98339736,2024-05-17
1108,1,delayed,0.99561936,2024-05-17
1108,1,delayed,0.98837763,2024-05-18
1108,0,not delayed,0.030824674,2024-05-16
1108,1,delayed,0.98895216,2024-05-19
1108,1,delayed,0.53801423,2024-05-15
1109,0,not delayed,0.030095799,2024-05-15
1109,1,delayed,0.98887455,2024-05-16
1109,1,delayed,0.98917526,2024-05-19
1109,0,not delayed,0.030176787,2024-05-18
1109,0,not delayed,0.038369928,2024-05-17
111,1,delayed,0.99688685,2024-05-19
111,1,delayed,0.99689054,2024-05-15
